,covers_id,goodreads_id,covers_title,goodreads_title,similarity_score,covers_isbn,goodreads_isbn,is_match
15,Covers_2594,Goodreads_books_1146,Score!,Score!,1.0,0593042263,0593042263,True
16,Covers_5926,Goodreads_books_3366,The Book of Mirdad : The Strange Story of a Monastery Which Was Once Called The Ark,The Book of Mirdad: The strange story of a monastery which was once called The Ark,1.0,1842930389,1842930389,True
17,Covers_5738,Goodreads_books_28133,The Revolt of the Masses,The Revolt of the Masses,1.0000000000000002,0393310957,0393310957,True
18,Covers_4454,Goodreads_books_13807,Erasure,Erasure,1.0,0786888156,0786888156,True
19,Covers_6514,Goodreads_books_13299,Beowulf's Children,Beowulf's Children,1.0,0812524969,0812524969,True
20,Covers_2314,Goodreads_books_127,Party Monster : A Fabulous But True Tale of Murder in Clubland,Party Monster: A Fabulous But True Tale of Murder in Clubland,1.0,0743259823,0743259823,True
21,Covers_909,Goodreads_books_32611,Calvin and Hobbes,Calvin and Hobbes,1.0000000000000002,0836220889,0836220889,True
22,Covers_3615,Goodreads_books_1949,L'Empire des Anges,L'Empire des anges,1.0,2253152072,2253152072,True
23,Covers_3928,Goodreads_books_27608,Carry the Wind,Carry the Wind,1.0000000000000002,055325572X,055325572X,True
24,Covers_1837,Goodreads_books_19576,The Flower Man,The Flower Man,1.0000000000000002,0671880438,0671880438,True
25,Covers_8766,Goodreads_books_4275,Troy,Troy,1.0,0152045708,0152045708,True
26,Covers_8036,Goodreads_books_475,The 25th Hour,The 25th Hour,1.0000000000000002,0452284198,0452284198,True
27,Covers_2128,Goodreads_books_5955,Songs of the Doomed : More Notes on the Death of the American Dream,Songs of the Doomed: More Notes on the Death of the American Dream,1.0,0743240995,0743240995,True
28,Covers_7001,Goodreads_books_35153,Frindle,Frindle,1.0,0689818769,0689818769,True
29,Covers_8514,Goodreads_books_29612,The Resort,The Resort,1.0,0451212800,0451212800,True
30,Covers_7948,Goodreads_books_36622,Star of the Sea,Star of the Sea,1.0000000000000002,0156029669,0156029669,True
31,Covers_7699,Goodreads_books_27463,Prizes,Prizes,1.0,0449908593,0449908593,True
32,Covers_4568,Goodreads_books_17457,If You Take a Mouse to School,If You Take a Mouse to School,1.0,0060283289,0060283289,True
33,Covers_3687,Goodreads_books_9652,Lady Boss,Lady Boss,1.0,0671023470,0671023470,True
34,Covers_4634,Goodreads_books_17121,Dancing in Red Shoes Will Kill You,Dancing in Red Shoes Will Kill You,1.0000000000000002,006055701X,006055701X,True
35,Covers_6551,Goodreads_books_3606,Black Wine,Black Wine,1.0,0312865783,0312865783,True
36,Covers_8578,Goodreads_books_37053,The Songlines,The Songlines,1.0,0140094296,0140094296,True
37,Covers_7135,Goodreads_books_13643,Homeland and Other Stories,Homeland and Other Stories,1.0000000000000002,0060917016,0060917016,True
38,Covers_8299,Goodreads_books_2362,The Group,The Group,1.0000000000000002,0156372088,0156372088,True
39,Covers_3888,Goodreads_books_6743,A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,1.0000000000000002,0743202414,0743202414,True
40,Covers_7161,Goodreads_books_4948,Human Croquet,Human Croquet,1.0,0312186886,0312186886,True
41,Covers_8590,Goodreads_books_3885,The Stories of Breece D'J Pancake,The Stories of Breece D'J Pancake,1.0000000000000002,0316715972,0316715972,True
42,Covers_7630,Goodreads_books_37215,Pastwatch: The Redemption of Christopher Columbus,Pastwatch: The Redemption of Christopher Columbus,1.0,0812508645,0812508645,True
43,Covers_8361,Goodreads_books_15060,The Last Silk Dress,The Last Silk Dress,1.0000000000000002,0440228611,0440228611,True
44,Covers_5101,Goodreads_books_11354,Pilgrim's Rest,Pilgrim's Rest,1.0000000000000002,0061044024,0061044024,True
45,Covers_7849,Goodreads_books_1232,Seven Gothic Tales,Seven Gothic Tales,1.0,0679736417,0679736417,True
46,Covers_8162,Goodreads_books_31272,The Color of Water: A Black Man's Tribute to His White Mother,The Color of Water: A Black Man's Tribute to His White Mother,1.0,1573225789,1573225789,True
47,Covers_5767,Goodreads_books_2272,Requiem for a Wren,Requiem for a Wren,1.0,1842322869,1842322869,True
48,Covers_8555,Goodreads_books_4164,The Sexual Life of Catherine M.,The Sexual Life of Catherine M.,1.0000000000000002,0802139868,0802139868,True
49,Covers_7330,Goodreads_books_31521,Less Than Zero,Less Than Zero,1.0,0679781498,0679781498,True
50,Covers_7212,Goodreads_books_20707,In Evil Hour,In Evil Hour,1.0000000000000002,0060919647,0060919647,True
51,Covers_707,Goodreads_books_27577,"Gender Outlaw: On Men, Women, and the Rest of Us","Gender Outlaw: On Men, Women and the Rest of Us",1.0,0679757015,0679757015,True
52,Covers_5618,Goodreads_books_19690,The Science Fiction Century,The Science Fiction Century,1.0,0312863381,0312863381,True
53,Covers_7691,Goodreads_books_39045,Prince Charming,Prince Charming,1.0,0671870963,0671870963,True
54,Covers_7442,Goodreads_books_30984,Message in a Bottle,Message in a Bottle,1.0000000000000002,0446676071,0446676071,True
55,Covers_6573,Goodreads_books_24634,"Bold Land, Bold Love","Bold Land, Bold Love",1.0,0505522748,0505522748,True
56,Covers_1439,Goodreads_books_26633,The More I See You,The More I See You,1.0,0425171078,0425171078,True
57,Covers_8399,Goodreads_books_4294,The Map of Love,The Map of Love,1.0000000000000002,0385720114,0385720114,True
58,Covers_6004,Goodreads_books_28563,"Superman: The Man of Steel, Vol. 1","Superman: The Man of Steel, Vol. 1",1.0000000000000002,0930289285,0930289285,True
59,Covers_2811,Goodreads_books_22480,Punish the Sinners,Punish the Sinners,1.0000000000000002,0440170842,0440170842,True
60,Covers_6675,Goodreads_books_17406,Christ: A Crisis in the Life of God,Christ: A Crisis in the Life of God,1.0000000000000004,0679781609,0679781609,True
61,Covers_7081,Goodreads_books_20273,Gulag : A History,Gulag: A History,1.0,0767900561,0767900561,True
62,Covers_561,Goodreads_books_4503,Immortal Poems of the English Language,Immortal Poems of the English Language,1.0,0671496107,0671496107,True
63,Covers_2871,Goodreads_books_39260,Mary Stewart's Merlin Trilogy,Mary Stewart's Merlin Trilogy,1.0000000000000004,0688003478,0688003478,True
64,Covers_8048,Goodreads_books_17849,The Andy Warhol Diaries,The Andy Warhol Diaries,1.0000000000000002,0446391387,0446391387,True
65,Covers_7497,Goodreads_books_3786,Mr. Vertigo.,Mr. Vertigo,1.0000000000000002,3499221527,3499221527,True
66,Covers_8193,Goodreads_books_20448,The Deep Blue Good-By,The Deep Blue Good-By,1.0000000000000002,0449223833,0449223833,True
67,Covers_6870,Goodreads_books_31318,Empire Falls,Empire Falls,1.0,0375726403,0375726403,True
68,Covers_46,Goodreads_books_32408,"Two Princesses of Bamarre, The",The Two Princesses of Bamarre,1.0000000000000002,0060575808,0060575808,True
69,Covers_6041,Goodreads_books_21323,Floddertje,Floddertje,1.0,902141371X,902141371X,True
70,Covers_8707,Goodreads_books_26847,Theodore Rex,Theodore Rex,1.0,0812966007,0812966007,True
71,Covers_8507,Goodreads_books_14659,The Rebel Angels,The Rebel Angels,1.0,0140062718,0140062718,True
72,Covers_6790,Goodreads_books_22421,Denial,Denial,1.0,0752826883,0752826883,True
73,Covers_7828,Goodreads_books_28378,Scoundrel,Scoundrel,1.0,0553569112,0553569112,True
74,Covers_4728,Goodreads_books_24045,The Gift of Therapy : An Open Letter to a New Generation of Therapists and Their Patients,The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients,1.0000000000000002,0060938110,0060938110,True
75,Covers_7026,Goodreads_books_33869,Getting Things Done: The Art of Stress-Free Productivity,Getting Things Done: The Art of Stress-Free Productivity,1.0,0142000280,0142000280,True
76,Covers_2920,Goodreads_books_8338,Texture Techniques for Winning Watercolors,Texture Techniques for Winning Watercolors,1.0000000000000002,0891348921,0891348921,True
77,Covers_272,Goodreads_books_8530,Deep South,Deep South,1.0,0425178951,0425178951,True
78,Covers_4488,Goodreads_books_26840,Among the Thugs,Among the Thugs,1.0,0679745351,0679745351,True
79,Covers_7333,Goodreads_books_27794,Letters from Rifka,Letters from Rifka,1.0000000000000002,0140363912,0140363912,True
80,Covers_8492,Goodreads_books_14182,The Princess,The Princess,1.0,0671743805,0671743805,True
81,Covers_7656,Goodreads_books_29091,Picture Maker,Picture Maker,1.0,0525946241,0525946241,True
82,Covers_8161,Goodreads_books_27415,The Color of My Words,The Color of My Words,1.0,0064472043,0064472043,True
83,Covers_5103,Goodreads_books_2400,Le feu follet: Suivi de Adieu Ã?Â  Gonzague,Le feu follet suivi de Adieu Ã  Gonzague,1.0,2070361527,2070361527,True
84,Covers_668,Goodreads_books_32640,Kiss an Angel,Kiss an Angel,1.0,0380782332,0380782332,True
85,Covers_1893,Goodreads_books_23055,The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night,The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night,1.0,0071381392,0071381392,True
86,Covers_6289,Goodreads_books_16306,A Dangerous Woman,A Dangerous Woman,1.0,0140272119,0140272119,True
87,Covers_7358,Goodreads_books_30445,Little Women,Little Women,1.0,0451529308,0451529308,True
88,Covers_7457,Goodreads_books_2992,Miguel Street,Miguel Street,1.0,0375713875,0375713875,True
89,Covers_4609,Goodreads_books_25609,Club Vampyre,Club Vampyre,1.0,1568655290,1568655290,True
90,Covers_6048,Goodreads_books_17737,Full Tilt: Ireland to India With a Bicycle,Full Tilt: Ireland to India with a Bicycle,1.0,0879512482,0879512482,True
91,Covers_6395,Goodreads_books_16470,Aliens Among Us,Aliens Among Us,1.0000000000000002,0449208095,0449208095,True
92,Covers_8713,Goodreads_books_28491,"They Shoot Canoes, Don't They?","They Shoot Canoes, Don't They?",1.0000000000000002,0805000305,0805000305,True
93,Covers_4105,Goodreads_books_25167,In Your Eyes,In Your Eyes,1.0000000000000002,0804120056,0804120056,True
94,Covers_3470,Goodreads_books_15421,The Wealth and Poverty of Nations: Why Some Are So Rich and Some So Poor,The Wealth and Poverty of Nations: Why Some Are So Rich and Some So Poor,1.0,0393318885,0393318885,True
95,Covers_6498,Goodreads_books_31147,Beach Music,Beach Music,1.0,0553381539,0553381539,True
96,Covers_2738,Goodreads_books_3811,Ape and Essence,Ape and Essence,1.0000000000000002,0929587782,0929587782,True
97,Covers_5914,Goodreads_books_2726,Where White Men Fear to Tread : The Autobiography of Russell Means,Where White Men Fear to Tread: The Autobiography of Russell Means,1.0,0312147619,0312147619,True
98,Covers_2376,Goodreads_books_7848,City of Dreams: A Novel of Nieuw Amsterdam and Early Manhattan,City of Dreams: A Novel of Nieuw Amsterdam and Early Manhattan,1.0000000000000002,0684871734,0684871734,True
99,Covers_718,Goodreads_books_29234,10 Secrets for Success and Inner Peace,10 Secrets for Success and Inner Peace,1.0,1561708755,1561708755,True
100,Covers_1917,Goodreads_books_12702,Rheingold.,Rheingold,1.0,3596124646,3596124646,True
101,Covers_248,Goodreads_books_13051,"Lame Deer, Seeker of Visions","Lame Deer, Seeker of Visions",1.0000000000000004,0671888021,0671888021,True
102,Covers_1822,Goodreads_books_21106,The 21 Indispensable Qualities of a Leader: Becoming the Person Others Will Want to Follow,The 21 Indispensable Qualities of a Leader: Becoming the Person Others Will Want to Follow,1.0000000000000002,0785274405,0785274405,True
103,Covers_2029,Goodreads_books_34087,The Butter Battle Book,The Butter Battle Book,1.0000000000000002,0394865804,0394865804,True
104,Covers_4003,Goodreads_books_1453,Swastika Night,Swastika Night,1.0000000000000002,0935312560,0935312560,True
105,Covers_8116,Goodreads_books_35304,The Buddha of Suburbia,The Buddha of Suburbia,1.0,014013168X,014013168X,True
106,Covers_1521,Goodreads_books_32617,The Comfort of Strangers,The Comfort of Strangers,1.0,0679749845,0679749845,True
107,Covers_2858,Goodreads_books_16646,The Soul of Rumi : A New Collection of Ecstatic Poems,The Soul of Rumi: A New Collection of Ecstatic Poems,1.0000000000000004,0060604522,0060604522,True
108,Covers_3488,Goodreads_books_2448,The Master of Petersburg,The Master of Petersburg,1.0000000000000002,0140238107,0140238107,True
109,Covers_8077,Goodreads_books_11489,The Best and the Brightest,The Best and the Brightest,1.0,0449908704,0449908704,True
110,Covers_631,Goodreads_books_2569,The Rising,The Rising,1.0000000000000002,0843952016,0843952016,True
111,Covers_4149,Goodreads_books_12001,Mallworld,Mallworld,1.0,0812555139,0812555139,True
112,Covers_2109,Goodreads_books_1482,Lament for a Son,Lament for a Son,1.0,080280294X,080280294X,True
113,Covers_337,Goodreads_books_2419,Math Curse,Math Curse,1.0,0670861944,0670861944,True
114,Covers_1762,Goodreads_books_23068,Twin of Ice,Twin of Ice,1.0,0671739719,0671739719,True
115,Covers_6762,Goodreads_books_10563,Days and Nights of Love and War,Days and Nights of Love and War,1.0000000000000002,1583670238,1583670238,True
116,Covers_1730,Goodreads_books_27498,On Becoming a Person:  A Therapist's View of Psychotherapy,On Becoming a Person: A Therapist's View of Psychotherapy,1.0,039575531X,039575531X,True
117,Covers_6924,Goodreads_books_38563,Fatal Vision,Fatal Vision,1.0000000000000002,0451165667,0451165667,True
118,Covers_2634,Goodreads_books_2342,Banker to the Poor: Micro-Lending and the Battle Against World Poverty,Banker to the Poor: Micro-Lending and the Battle Against World Poverty,1.0000000000000002,1586481983,1586481983,True
119,Covers_6311,Goodreads_books_33963,A Kingdom of Dreams,A Kingdom of Dreams,1.0000000000000002,0743474155,0743474155,True
120,Covers_8315,Goodreads_books_31177,The Horse Whisperer,The Horse Whisperer,1.0000000000000002,0440222656,0440222656,True
121,Covers_3695,Goodreads_books_28540,Coincidance: A Head Test,Coincidance: A Head Test,1.0000000000000002,1561840041,1561840041,True
122,Covers_6904,Goodreads_books_18116,Faded Coat of Blue,Faded Coat of Blue,1.0,0380976420,0380976420,True
123,Covers_7424,Goodreads_books_24302,Material World: A Global Family Portrait,Material World: A Global Family Portrait,1.0,0871564378,0871564378,True
124,Covers_8290,Goodreads_books_36579,The Good Women of China : Hidden Voices,The Good Women of China: Hidden Voices,1.0,1400030803,1400030803,True
125,Covers_839,Goodreads_books_21820,Vows,Vows,1.0,0515094773,0515094773,True
126,Covers_7541,Goodreads_books_3993,No Greater Love,No Greater Love,1.0,1577310063,1577310063,True
127,Covers_6221,Goodreads_books_27379,Donald and His Friends,Donald and His Friends,1.0000000000000002,0831723920,0831723920,True
128,Covers_6720,Goodreads_books_33420,Critique of Pure Reason,Critique of Pure Reason,1.0,0521657296,0521657296,True
129,Covers_8504,Goodreads_books_31185,The Razor's Edge,The Razor's Edge,1.0000000000000002,1400034205,1400034205,True
130,Covers_8732,Goodreads_books_14361,Tiger Prince,Tiger Prince,1.0000000000000002,155166531X,155166531X,True
131,Covers_413,Goodreads_books_9706,Warchild,Warchild,1.0,0446610771,0446610771,True
132,Covers_6457,Goodreads_books_37923,Archer's Goon,Archer's Goon,1.0000000000000002,0060298898,0060298898,True
133,Covers_6178,Goodreads_books_13867,The Last Testament of Oscar Wilde,The Last Testament of Oscar Wilde,1.0000000000000002,0349100594,0349100594,True
134,Covers_8822,Goodreads_books_32929,Welcome to the Monkey House,Welcome to the Monkey House,1.0,0385333501,0385333501,True
135,Covers_2828,Goodreads_books_4145,Prophecy: Child of Earth,Prophecy: Child of Earth,1.0000000000000002,0812570820,0812570820,True
136,Covers_4406,Goodreads_books_4968,"Diet for a New America: How Your Food Choices Affect Your Health, Happiness and the Future of Life on Earth","Diet for a New America: How Your Food Choices Affect Your Health, Happiness and the Future of Life on Earth",1.0000000000000002,0915811812,0915811812,True
137,Covers_8243,Goodreads_books_33286,The Fifth Mountain,The Fifth Mountain,1.0000000000000002,0060930136,0060930136,True
138,Covers_1996,Goodreads_books_36901,The Metamorphosis and Other Stories,The Metamorphosis and Other Stories,1.0000000000000002,1593080298,1593080298,True
139,Covers_7305,Goodreads_books_5391,Lancelot,Lancelot,1.0,0312243073,0312243073,True
140,Covers_2415,Goodreads_books_24835,Dark Melody,Dark Melody,1.0,0843950498,0843950498,True
141,Covers_4122,Goodreads_books_13115,Somebody's Someone : A Memoir,Somebody's Someone: A Memoir,1.0000000000000002,0446529109,0446529109,True
142,Covers_8087,Goodreads_books_29115,The Blessing,The Blessing,1.0,0786705213,0786705213,True
143,Covers_8115,Goodreads_books_30455,The Brothers Karamazov,The Brothers Karamazov,1.0,0374528373,0374528373,True
144,Covers_4451,Goodreads_books_4017,Notes from a Bottle Found on the Beach at Carmel,Notes from a Bottle Found on the Beach at Carmel,1.0000000000000002,0880014075,0880014075,True
145,Covers_3749,Goodreads_books_23208,Carver: A Life in Poems,Carver: A Life in Poems,1.0,1886910537,1886910537,True
146,Covers_2339,Goodreads_books_20366,Here Is New York,Here Is New York,1.0,1892145022,1892145022,True
147,Covers_56,Goodreads_books_24803,Gossamer Axe,Gossamer Axe,1.0,0451450256,0451450256,True
148,Covers_5123,Goodreads_books_2436,"Burning in Water, Drowning in Flame","Burning in Water, Drowning in Flame",1.0000000000000002,087685191X,087685191X,True
149,Covers_3901,Goodreads_books_11994,The Contest,The Contest,1.0000000000000002,0439401399,0439401399,True
150,Covers_4030,Goodreads_books_28561,Don't Bet on the Prince: Contemporary Feminist Fairy Tales in North America and England,Don't Bet on the Prince: Contemporary Feminist Fairy Tales in North America and England,1.0000000000000002,0415902630,0415902630,True
151,Covers_8441,Goodreads_books_4114,The October Horse : A Novel of Caesar and Cleopatra,The October Horse: A Novel of Caesar and Cleopatra,1.0000000000000002,0671024205,0671024205,True
152,Covers_4044,Goodreads_books_24700,The Rose Demon,The Rose Demon,1.0000000000000002,0747254419,0747254419,True
153,Covers_6814,Goodreads_books_24654,Don't Fall Off the Mountain,Don't Fall Off the Mountain,1.0,0553274384,0553274384,True
154,Covers_1886,Goodreads_books_36759,In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,1.0,1585421774,1585421774,True
155,Covers_6413,Goodreads_books_21664,Amphigorey,Amphigorey,1.0,0399504338,0399504338,True
156,Covers_7603,Goodreads_books_12491,Oscar Wilde,Oscar Wilde,1.0000000000000002,0394759842,0394759842,True
157,Covers_6309,Goodreads_books_19810,A Hope in the Unseen : An American Odyssey from the Inner City to the Ivy League,A Hope in the Unseen: An American Odyssey from the Inner City to the Ivy League,1.0000000000000002,0767901266,0767901266,True
158,Covers_7246,Goodreads_books_30617,James and the Giant Peach,James and the Giant Peach,1.0000000000000002,0375814248,0375814248,True
159,Covers_4205,Goodreads_books_11859,In the Night Cafe,In the Night Cafe,1.0,0525247416,0525247416,True
160,Covers_3242,Goodreads_books_27980,A Fail-safe Way for You to Receive the Holy Spirit,A Fail-Safe Way for You to Receive the Holy Spirit,1.0,8983140674,8983140674,True
161,Covers_4216,Goodreads_books_28886,Asterix in Switzerland,Asterix in Switzerland,1.0000000000000004,0340192704,0340192704,True
162,Covers_3259,Goodreads_books_16338,The Crystal Frontier,The Crystal Frontier,1.0,0156006200,0156006200,True
163,Covers_8848,Goodreads_books_11352,Who Wrote the Bible?,Who Wrote the Bible?,1.0000000000000002,0060630353,0060630353,True
164,Covers_6627,Goodreads_books_4609,Callahan's Crosstime Saloon,Callahan's Crosstime Saloon,1.0000000000000002,0812572270,0812572270,True
165,Covers_5166,Goodreads_books_20936,Tales of Known Space: The Universe of Larry Niven,Tales of Known Space: The Universe of Larry Niven,1.0,0345334698,0345334698,True
166,Covers_7981,Goodreads_books_32025,Stuart Little,Stuart Little,1.0000000000000002,0064400565,0064400565,True
167,Covers_2144,Goodreads_books_13656,The Good War: An Oral History of World War II,The Good War: An Oral History of World War II,1.0,1565843436,1565843436,True
168,Covers_173,Goodreads_books_16023,Lady Sophia's Lover,Lady Sophia's Lover,1.0,0380811065,0380811065,True
169,Covers_6540,Goodreads_books_39284,Black Cross,Black Cross,1.0,0451204727,0451204727,True
170,Covers_3022,Goodreads_books_14043,STILL LIFE,Still Life,1.0000000000000002,0684835037,0684835037,True
171,Covers_3518,Goodreads_books_758,Playing James,Playing James,1.0000000000000002,0345469550,0345469550,True
172,Covers_2962,Goodreads_books_2073,King Hereafter,King Hereafter,1.0,0375704035,0375704035,True
173,Covers_2403,Goodreads_books_19812,If I Had My Life to Live Over I Would Pick More Daisies,If I Had My Life to Live Over I Would Pick More Daisies,1.0000000000000002,0918949246,0918949246,True
174,Covers_2575,Goodreads_books_35916,Have a Nice Day!: A Tale of Blood and Sweatsocks,Have a Nice Day!: A Tale of Blood and Sweatsocks,1.0,0061031011,0061031011,True
175,Covers_1000,Goodreads_books_36713,Archy and Mehitabel,Archy and Mehitabel,1.0000000000000002,0385094787,0385094787,True
176,Covers_6819,Goodreads_books_29574,Double Star,Double Star,1.0,0345330137,0345330137,True
177,Covers_8627,Goodreads_books_29579,The Tracker,The Tracker,1.0000000000000002,0425101339,0425101339,True
178,Covers_7814,Goodreads_books_17290,Sati,Sati,1.0,0812510356,0812510356,True
179,Covers_7723,Goodreads_books_13352,Quinn's Book,Quinn's Book,1.0000000000000002,0140077375,0140077375,True
180,Covers_6899,Goodreads_books_29450,Eye of the Storm,Eye of the Storm,1.0,0425138232,0425138232,True
181,Covers_8065,Goodreads_books_22217,The Bargain,The Bargain,1.0000000000000002,0451198646,0451198646,True
182,Covers_8069,Goodreads_books_24790,The Bear Went over the Mountain,The Bear Went Over the Mountain,1.0000000000000002,0805054383,0805054383,True
183,Covers_6290,Goodreads_books_4410,A Darker Place,A Darker Place,1.0000000000000002,0553578243,0553578243,True
184,Covers_6040,Goodreads_books_36252,The Principia : Mathematical Principles of Natural Philosophy,The Principia: Mathematical Principles of Natural Philosophy,1.0000000000000004,0520088174,0520088174,True
185,Covers_2890,Goodreads_books_38003,The Drama of the Gifted Child: The Search for the True Self,The Drama of the Gifted Child: The Search for the True Self,1.0000000000000002,0465016901,0465016901,True
186,Covers_3464,Goodreads_books_21926,Dancing on the Wind,Dancing on the Wind,1.0000000000000002,0451209109,0451209109,True
187,Covers_5742,Goodreads_books_2111,The Ethics of Ambiguity,The Ethics of Ambiguity,1.0000000000000002,080650160X,080650160X,True
188,Covers_5051,Goodreads_books_33204,The Soft Machine,The Soft Machine,1.0,0802133290,0802133290,True
189,Covers_8210,Goodreads_books_36425,The Dragon and the George,The Dragon and the George,1.0,0345350502,0345350502,True
190,Covers_2095,Goodreads_books_23167,The Letter of Marque,The Letter of Marque,1.0,0393309053,0393309053,True
191,Covers_7519,Goodreads_books_31399,Naked in Death,Naked in Death,1.0000000000000002,0425148297,0425148297,True
192,Covers_6993,Goodreads_books_30650,Franny and Zooey,Franny and Zooey,1.0000000000000002,0316769029,0316769029,True
193,Covers_8653,Goodreads_books_30563,The Velveteen Rabbit,The Velveteen Rabbit,1.0,0380002558,0380002558,True
194,Covers_5118,Goodreads_books_35160,The Song of the Lioness Quartet,The Song of the Lioness Quartet,1.0,0375825649,0375825649,True
195,Covers_2645,Goodreads_books_13310,Claudine de Lyon,Claudine De Lyon,1.0,2081643464,2081643464,True
196,Covers_2896,Goodreads_books_38399,The Hollow Chocolate Bunnies of the Apocalypse,The Hollow Chocolate Bunnies of the Apocalypse,1.0,0575074019,0575074019,True
197,Covers_2500,Goodreads_books_2533,The Birthday of the World : And Other Stories,The Birthday of the World and Other Stories,1.0,0060509066,0060509066,True
198,Covers_4395,Goodreads_books_2958,Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",1.0,0316787531,0316787531,True
199,Covers_8646,Goodreads_books_28104,The Unlikely Spy,The Unlikely Spy,1.0000000000000004,0451209303,0451209303,True
200,Covers_6195,Goodreads_books_12480,Lil Mama's Rules,Lil Mama's Rules,1.0,0743218620,0743218620,True
201,Covers_4833,Goodreads_books_23192,Our Lady of Darkness,Our Lady of Darkness,1.0000000000000004,0441644171,0441644171,True
202,Covers_1735,Goodreads_books_21216,The Hungry Moon,The Hungry Moon,1.0,0812516621,0812516621,True
203,Covers_6102,Goodreads_books_4859,Kallocain,Kallocain,1.0,0299038947,0299038947,True
204,Covers_8119,Goodreads_books_1037,The Butterfly Effect,The Butterfly Effect,1.0000000000000002,1844160815,1844160815,True
205,Covers_7644,Goodreads_books_1516,Permutation City,Permutation City,1.0,006105481X,006105481X,True
206,Covers_7787,Goodreads_books_2798,Ronin,Ronin,1.0,0930289218,0930289218,True
207,Covers_2483,Goodreads_books_26258,The Curse of the Witch-Queen,The Curse of the Witch-Queen,1.0000000000000004,034529520X,034529520X,True
208,Covers_8658,Goodreads_books_4354,The Virgin Blue,The Virgin Blue,1.0,0452284449,0452284449,True
209,Covers_6942,Goodreads_books_34820,Fevre Dream,Fevre Dream,1.0,0553383051,0553383051,True
210,Covers_6828,Goodreads_books_34516,Dream Man,Dream Man,1.0000000000000002,0671019759,0671019759,True
211,Covers_8175,Goodreads_books_35896,The Cyberiad,The Cyberiad,1.0,0156027593,0156027593,True
212,Covers_1800,Goodreads_books_5366,Lie Down in Darkness,Lie Down in Darkness,1.0000000000000002,0679735976,0679735976,True
213,Covers_4551,Goodreads_books_25871,"Lyrics, 1962-1985","Lyrics, 1962-1985",1.0000000000000002,0394542789,0394542789,True
214,Covers_8047,Goodreads_books_31961,The Andromeda Strain,The Andromeda Strain,1.0000000000000002,0060541814,0060541814,True
215,Covers_7555,Goodreads_books_35873,Now We Are Six,Now We Are Six,1.0000000000000002,0525444467,0525444467,True
216,Covers_943,Goodreads_books_39272,Phenomenal Woman: Four Poems Celebrating Women,Phenomenal Woman: Four Poems Celebrating Women,1.0,0679439242,0679439242,True
217,Covers_7774,Goodreads_books_9487,Riding the Rap,Riding the Rap,1.0000000000000002,0060082186,0060082186,True
