"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorTFIDFCosine record1Value","[0] BookTitleComparatorTFIDFCosine record2Value","[0] BookTitleComparatorTFIDFCosine record1PreprocessedValue","[0] BookTitleComparatorTFIDFCosine record2PreprocessedValue","[0] BookTitleComparatorTFIDFCosine similarity","[0] BookTitleComparatorTFIDFCosine postproccesedSimilarity","[1] BookAuthorComparatorJaccard record1Value","[1] BookAuthorComparatorJaccard record2Value","[1] BookAuthorComparatorJaccard record1PreprocessedValue","[1] BookAuthorComparatorJaccard record2PreprocessedValue","[1] BookAuthorComparatorJaccard similarity","[1] BookAuthorComparatorJaccard postproccesedSimilarity","[2] BookGenreComparatorJaccard record1Value","[2] BookGenreComparatorJaccard record2Value","[2] BookGenreComparatorJaccard record1PreprocessedValue","[2] BookGenreComparatorJaccard record2PreprocessedValue","[2] BookGenreComparatorJaccard similarity","[2] BookGenreComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","Goodreads_books_16849","Amazon_15002","0.0",,"The Country Girls: Three Novels and an Epilogue:","The Complete Poetry Of Edgar Allan Poe","The Country Girls: Three Novels and an Epilogue:","The Complete Poetry Of Edgar Allan Poe","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_21958","Amazon_17684","0.1",,"The Secret Country","The Sellout","The Secret Country","The Sellout","0.0","0.0","","","","","0.0","0.0","Fantasy","Fantasy","Fantasy","Fantasy","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_19966","Amazon_722","0.09999999999999999",,"The Great Plan of Happiness [With Poster]","The Grain Brain Whole Life Plan","The Great Plan of Happiness [With Poster]","The Grain Brain Whole Life Plan","0.0","0.0","David   Bowman","David Perlmutter","David   Bowman","David Perlmutter","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_2556","Amazon_15205","0.0",,"The Complete Saki","The Complete Dramatic Works of Samuel Beckett","The Complete Saki","The Complete Dramatic Works of Samuel Beckett","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4700","Amazon_17366","0.8999999999999999",,"The Invasion of the Tearling","The Invasion of the Tearling","The Invasion of the Tearling","The Invasion of the Tearling","1.0","1.0","Erika Johansen","Erika Johansen","Erika Johansen","Erika Johansen","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_13699","Amazon_4184","0.09999999999999999",,"How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food","How to Win at the Sport of Business","How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food","How to Win at the Sport of Business","0.0","0.0","Mark Bittman","Mark Cuban","Mark Bittman","Mark Cuban","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_15586","Amazon_3036","0.0",,"A Woman's Guide to a Simpler Life","A Woman In Berlin","A Woman's Guide to a Simpler Life","A Woman In Berlin","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_26913","Amazon_22303","0.9999999999999999",,"A Short Walk in the Hindu Kush","A Short Walk in the Hindu Kush","A Short Walk in the Hindu Kush","A Short Walk in the Hindu Kush","1.0","1.0","Eric Newby","Eric Newby","Eric Newby","Eric Newby","1.0","1.0","Travel","Travel","Travel","Travel","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_24546","Amazon_17030","0.0",,"The Worry Stone","The Woman Who Stole My Life","The Worry Stone","The Woman Who Stole My Life","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_34148","Amazon_18491","0.0",,"The Underneath","The Unknown Kimi Raikkonen","The Underneath","The Unknown Kimi Raikkonen","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_31543","Amazon_13571","0.8999999999999999",,"The Art of Happiness","The Art of Happiness - 10th Anniversary Edition","The Art of Happiness","The Art of Happiness - 10th Anniversary Edition","1.0","1.0","Dalai Lama XIV","Dalai Lama XIV","Dalai Lama XIV","Dalai Lama XIV","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_14799","Amazon_15190","0.8999999999999999","1","The Master's Tools Will Never Dismantle the Master's House","The Master's Tools Will Never Dismantle the Master's House","The Master's Tools Will Never Dismantle the Master's House","The Master's Tools Will Never Dismantle the Master's House","1.0","1.0","Audre Lorde","Audre Lorde","Audre Lorde","Audre Lorde","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_33794","Amazon_18089","0.0",,"The River Why","The Rise of Endymion","The River Why","The Rise of Endymion","0.0","0.0","","","","","0.0","0.0","Fiction","Science-Fiction","Fiction","Science-Fiction","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_36734","Amazon_5618","0.3",,"Hackers: Heroes of the Computer Revolution","Hackers","Hackers: Heroes of the Computer Revolution","Hackers","0.0","0.0","Steven Levy","Steven Levy","Steven Levy","Steven Levy","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_9259","Amazon_4467","0.3",,"Harry Potter y el cáliz de fuego","Harry Potter and the Philosopher's Stone - Ravenclaw Edition","Harry Potter y el cáliz de fuego","Harry Potter and the Philosopher's Stone - Ravenclaw Edition","0.0","0.0","J.K. Rowling","J. K. Rowling","J.K. Rowling","J. K. Rowling","1.0","1.0","Childrens","Childrens-Books","Childrens","Childrens-Books","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_36222","Amazon_18275","0.1",,"The Complete Circle Series","The Colour Of Magic","The Complete Circle Series","The Colour Of Magic","0.0","0.0","","","","","0.0","0.0","Fantasy","Fantasy","Fantasy","Fantasy","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_34451","Amazon_10126","0.8999999999999999",,"After We Collided","After We Collided","After We Collided","After We Collided","1.0","1.0","Anna Todd","Anna Todd","Anna Todd","Anna Todd","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_36533","Amazon_4109","0.4",,"The Goal: A Process of Ongoing Improvement","The Goal","The Goal: A Process of Ongoing Improvement","The Goal","0.0","0.0","Eliyahu M. Goldratt","Eliyahu M. Goldratt","Eliyahu M. Goldratt","Eliyahu M. Goldratt","1.0","1.0","Business","Business","Business","Business","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_5133","Amazon_21999","0.0",,"The Pastures of Heaven","The Passion for Utes","The Pastures of Heaven","The Passion for Utes","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_32915","Amazon_4545","0.8999999999999999",,"A Court of Frost and Starlight","A Court of Wings and Ruin","A Court of Frost and Starlight","A Court of Wings and Ruin","1.0","1.0","Sarah J. Maas","Sarah J. Maas","Sarah J. Maas","Sarah J. Maas","1.0","1.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_1604","Amazon_1377","0.0",,"The Four Fingers of Death","The Four Horsemen","The Four Fingers of Death","The Four Horsemen","0.0","0.0","","","","","0.0","0.0","Science Fiction","Science","Science Fiction","Science","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_32822","Amazon_4112","0.6",,"The Book of Laughter and Forgetting","The Book Of Five Rings","The Book of Laughter and Forgetting","The Book Of Five Rings","1.0","1.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_16852","Amazon_11647","0.0",,"The Conspiracy Club","The Cold War","The Conspiracy Club","The Cold War","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_34303","Amazon_16289","0.9999999999999999",,"The Problem of Pain","The Problem of Pain","The Problem of Pain","The Problem of Pain","1.0","1.0","C.S. Lewis","C. S. Lewis","C.S. Lewis","C. S. Lewis","1.0","1.0","Religion","Religion","Religion","Religion","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_25738","Amazon_5058","0.8999999999999999",,"The Giver","The Giver","The Giver","The Giver","1.0","1.0","Lois Lowry","Lois Lowry","Lois Lowry","Lois Lowry","1.0","1.0","Childrens","Childrens-Books","Childrens","Childrens-Books","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23210","Amazon_16604","0.9999999999999999",,"Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life","Having a Mary Heart in a Martha World","Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life","Having a Mary Heart in a Martha World","1.0","1.0","Joanna Weaver","Joanna Weaver","Joanna Weaver","Joanna Weaver","1.0","1.0","Religion","Religion","Religion","Religion","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_30528","Amazon_7018","0.4",,"The Girl Who Played with Fire","The Girl With the Dragon Tattoo","The Girl Who Played with Fire","The Girl With the Dragon Tattoo","0.0","0.0","Stieg Larsson","Stieg Larsson","Stieg Larsson","Stieg Larsson","1.0","1.0","Thriller","Thriller","Thriller","Thriller","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_38748","Amazon_21280","0.09999999999999999",,"The Book of Evidence","The Boy in the Striped Pyjamas","The Book of Evidence","The Boy in the Striped Pyjamas","0.0","0.0","John Banville","John Boyne","John Banville","John Boyne","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_38767","Amazon_10747","0.8999999999999999",,"The Walking Dead, Vol. 2: Miles Behind Us","The Walking Dead Book 8","The Walking Dead, Vol. 2: Miles Behind Us","The Walking Dead Book 8","1.0","1.0","Robert Kirkman","Robert Kirkman","Robert Kirkman","Robert Kirkman","1.0","1.0","Graphic Novels Comics","Graphic-Novels","Graphic Novels Comics","Graphic-Novels","0.6666666666666666","0.0"
"LinearCombinationMatchingRule","Goodreads_books_36091","Amazon_3356","0.9999999999999999",,"The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism","The Reason I Jump","The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism","The Reason I Jump","1.0","1.0","Naoki Higashida","Naoki Higashida","Naoki Higashida","Naoki Higashida","1.0","1.0","Biography","Biography","Biography","Biography","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_19813","Amazon_4226","0.0",,"The Genesis Code","The General Theory of Employment, Interest and Money","The Genesis Code","The General Theory of Employment, Interest and Money","0.0","0.0","John Case","John Maynard Keynes","John Case","John Maynard Keynes","0.25","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_25650","Amazon_2809","0.7",,"Bad Blood","Bad Blood","Bad Blood","Bad Blood","1.0","1.0","John Sandford","John Carreyrou","John Sandford","John Carreyrou","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24141","Amazon_20431","0.0",,"The Courage of Sarah Noble","The Complete Woodcuts of Albrecht Durer","The Courage of Sarah Noble","The Complete Woodcuts of Albrecht Durer","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_7562","Amazon_3366","0.4",,"Anne Frank's Tales from the Secret Annex: A Collection of Her Short Stories, Fables, and Lesser-Known Writings","Anne Frank's Diary: The Graphic Adaptation","Anne Frank's Tales from the Secret Annex: A Collection of Her Short Stories, Fables, and Lesser-Known Writings","Anne Frank's Diary: The Graphic Adaptation","0.0","0.0","Anne Frank","Anne Frank","Anne Frank","Anne Frank","1.0","1.0","Biography","Biography","Biography","Biography","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_8482","Amazon_806","0.0",,"The Long Firm","The Lord God Made Them All","The Long Firm","The Lord God Made Them All","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_37444","Amazon_11094","0.0",,"The Whole Truth","The Whole-Brain Child Workbook","The Whole Truth","The Whole-Brain Child Workbook","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_30292","Amazon_4246","0.0",,"The Predicteds","The Productivity Project","The Predicteds","The Productivity Project","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_35806","Amazon_17918","0.0",,"The Last Summer (of You and Me)","The Lady of the Lake","The Last Summer (of You and Me)","The Lady of the Lake","0.0","0.0","","","","","0.0","0.0","Fiction","Science-Fiction","Fiction","Science-Fiction","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_9259","Amazon_4435","0.3",,"Harry Potter y el cáliz de fuego","Harry Potter and the Chamber of Secrets","Harry Potter y el cáliz de fuego","Harry Potter and the Chamber of Secrets","0.0","0.0","J.K. Rowling","J. K. Rowling","J.K. Rowling","J. K. Rowling","1.0","1.0","Childrens","Childrens-Books","Childrens","Childrens-Books","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_8568","Amazon_4304","0.9999999999999999",,"The Fire Starter Sessions: A Soulful + Practical Guide to Creating Success on Your Own Terms","The Fire Starter Sessions","The Fire Starter Sessions: A Soulful + Practical Guide to Creating Success on Your Own Terms","The Fire Starter Sessions","1.0","1.0","Danielle LaPorte","Danielle Laporte","Danielle LaPorte","Danielle Laporte","1.0","1.0","Business","Business","Business","Business","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_34833","Amazon_18091","0.9999999999999999",,"Tales from Earthsea","Tales from Earthsea","Tales from Earthsea","Tales from Earthsea","1.0","1.0","Ursula K. Le Guin","Ursula K. Le Guin","Ursula K. Le Guin","Ursula K. Le Guin","1.0","1.0","Fantasy","Fantasy","Fantasy","Fantasy","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_31839","Amazon_7508","0.6",,"The Wrath and the Dawn","The Wrath and the Dawn","The Wrath and the Dawn","The Wrath and the Dawn","1.0","1.0","Renée Ahdieh","Renee Ahdieh","Renée Ahdieh","Renee Ahdieh","0.25","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24702","Amazon_21317","0.0",,"The Rise of Renegade X","The Ride","The Rise of Renegade X","The Ride","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_12773","Amazon_11061","0.0",,"Where Treasure Hides","Wherever You Go There You are","Where Treasure Hides","Wherever You Go There You are","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_25051","Amazon_17627","0.9999999999999999",,"Salvation in Death","Salvation in Death","Salvation in Death","Salvation in Death","1.0","1.0","J.D. Robb","J D Robb","J.D. Robb","J D Robb","1.0","1.0","Romance","Romance","Romance","Romance","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_27552","Amazon_14117","0.09999999999999999","0","Angel of the Knight","Angels of Light Cards Pocket Edition","Angel of the Knight","Angels of Light Cards Pocket Edition","0.0","0.0","Diana Hall","Diana Cooper","Diana Hall","Diana Cooper","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_25438","Amazon_21507","0.0",,"How to Read the Psalms","How to Diagnose and Repair Automotive Electrical Systems","How to Read the Psalms","How to Diagnose and Repair Automotive Electrical Systems","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_1807","Amazon_22451","0.0",,"Black as Night","Black Lamb and Grey Falcon","Black as Night","Black Lamb and Grey Falcon","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_38491","Amazon_7034","0.0",,"The Gift","The Girl in the Spider's Web","The Gift","The Girl in the Spider's Web","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_2581","Amazon_10993","0.0",,"The Fate of a Man and Early Stories","The Fast Diet: Revised and Updated","The Fate of a Man and Early Stories","The Fast Diet: Revised and Updated","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_35482","Amazon_10820","0.8999999999999999",,"Attack on Titan, Vol. 1","Attack On Titan 16","Attack on Titan, Vol. 1","Attack On Titan 16","1.0","1.0","Hajime Isayama","Hajime Isayama","Hajime Isayama","Hajime Isayama","1.0","1.0","Sequential Art-Graphic Novels","Graphic-Novels","Sequential Art-Graphic Novels","Graphic-Novels","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_27122","Amazon_582","0.0",,"The House on the Gulf","The Horse Anatomy Workbook","The House on the Gulf","The Horse Anatomy Workbook","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_38431","Amazon_4304","0.0",,"The First Chronicles of Druss the Legend","The Fire Starter Sessions","The First Chronicles of Druss the Legend","The Fire Starter Sessions","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_32807","Amazon_17951","0.4",,"The Blinding Knife","The Black Prism","The Blinding Knife","The Black Prism","0.0","0.0","Brent Weeks","Brent Weeks","Brent Weeks","Brent Weeks","1.0","1.0","Fantasy","Fantasy","Fantasy","Fantasy","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_27122","Amazon_8178","0.0",,"The House on the Gulf","The Horologicon","The House on the Gulf","The Horologicon","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_30745","Amazon_20859","0.9999999999999999",,"Anna and the French Kiss","Anna and the French Kiss","Anna and the French Kiss","Anna and the French Kiss","1.0","1.0","Stephanie Perkins","Stephanie Perkins","Stephanie Perkins","Stephanie Perkins","1.0","1.0","Young Adult","Young-Adult","Young Adult","Young-Adult","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_35482","Amazon_10828","0.8999999999999999",,"Attack on Titan, Vol. 1","Attack On Titan 18","Attack on Titan, Vol. 1","Attack On Titan 18","1.0","1.0","Hajime Isayama","Hajime Isayama","Hajime Isayama","Hajime Isayama","1.0","1.0","Sequential Art-Graphic Novels","Graphic-Novels","Sequential Art-Graphic Novels","Graphic-Novels","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_30777","Amazon_476","0.0",,"The House of Hades","The Hot Zone","The House of Hades","The Hot Zone","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_13634","Amazon_3886","0.0",,"The Complete Short Stories: Volume One 1944-1953","The Concise 33 Strategies of War","The Complete Short Stories: Volume One 1944-1953","The Concise 33 Strategies of War","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23335","Amazon_13458","0.0",,"The Invisible Wall: A Love Story That Broke Barriers","The Indisputable Existence of Santa Claus","The Invisible Wall: A Love Story That Broke Barriers","The Indisputable Existence of Santa Claus","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_15522","Amazon_4700","0.0",,"The Roman Revolution","The Roald Dahl Audio Collection","The Roman Revolution","The Roald Dahl Audio Collection","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_9259","Amazon_4451","0.3",,"Harry Potter y el cáliz de fuego","Harry Potter and the Chamber of Secrets","Harry Potter y el cáliz de fuego","Harry Potter and the Chamber of Secrets","0.0","0.0","J.K. Rowling","J. K. Rowling","J.K. Rowling","J. K. Rowling","1.0","1.0","Childrens","Childrens-Books","Childrens","Childrens-Books","0.5","0.0"
"LinearCombinationMatchingRule","Goodreads_books_38767","Amazon_10735","0.8999999999999999",,"The Walking Dead, Vol. 2: Miles Behind Us","The Walking Dead Volume 30: New World Order","The Walking Dead, Vol. 2: Miles Behind Us","The Walking Dead Volume 30: New World Order","1.0","1.0","Robert Kirkman","Robert Kirkman","Robert Kirkman","Robert Kirkman","1.0","1.0","Graphic Novels Comics","Graphic-Novels","Graphic Novels Comics","Graphic-Novels","0.6666666666666666","0.0"
"LinearCombinationMatchingRule","Goodreads_books_27395","Amazon_4689","0.0",,"The Boys of My Youth","The Boy in the Striped Pyjamas","The Boys of My Youth","The Boy in the Striped Pyjamas","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4144","Amazon_10137","0.8999999999999999",,"The Walking Dead, Vol. 7: The Calm Before","The Walking Dead Compendium Volume 2","The Walking Dead, Vol. 7: The Calm Before","The Walking Dead Compendium Volume 2","1.0","1.0","Robert Kirkman","Robert Kirkman","Robert Kirkman","Robert Kirkman","1.0","1.0","Graphic Novels Comics","Graphic-Novels","Graphic Novels Comics","Graphic-Novels","0.6666666666666666","0.0"
"LinearCombinationMatchingRule","Goodreads_books_8860","Amazon_18136","0.4",,"The Magicians Trilogy Boxed Set","The Magician's Land","The Magicians Trilogy Boxed Set","The Magician's Land","0.0","0.0","Lev Grossman","Lev Grossman","Lev Grossman","Lev Grossman","1.0","1.0","Fantasy","Fantasy","Fantasy","Fantasy","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_33435","Amazon_22556","0.0",,"Where Things Come Back","Where Chefs Eat","Where Things Come Back","Where Chefs Eat","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4464","Amazon_17003","0.0",,"The Calling","The Cake Shop in the Garden","The Calling","The Cake Shop in the Garden","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_37821","Amazon_3934","0.0",,"The Confusions of Young Törless","The Copywriter's Handbook","The Confusions of Young Törless","The Copywriter's Handbook","0.0","0.0","Robert Musil","Robert W. Bly","Robert Musil","Robert W. Bly","0.25","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_25405","Amazon_12851","0.0",,"The Courage to Create","The Concise 48 Laws Of Power","The Courage to Create","The Concise 48 Laws Of Power","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_33432","Amazon_7157","0.0",,"The Six Wives of Henry VIII","The Silent Patient","The Six Wives of Henry VIII","The Silent Patient","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23502","Amazon_8158","0.0",,"Thanksgiving","Thank You for Arguing","Thanksgiving","Thank You for Arguing","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_23744","Amazon_10505","0.09999999999999999",,"The War of Wars: The Great European Conflict 1793 - 1815","The Walking Dead Volume 9: Here We Remain","The War of Wars: The Great European Conflict 1793 - 1815","The Walking Dead Volume 9: Here We Remain","0.0","0.0","Robert Harvey","Robert Kirkman","Robert Harvey","Robert Kirkman","0.3333333333333333","0.3333333333333333","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4828","Amazon_20214","0.0",,"The Neon Rain","The Next Step Forward in Guided Reading","The Neon Rain","The Next Step Forward in Guided Reading","0.0","0.0","","","","","0.0","0.0","","","","","0.0","0.0"
