"Blocking Key Value","Frequency"
"BETHDE,STSO,BETHLA,SUDE,DIMA,EG,UP,YO,BEBE,BEMI,THFITI,THSHST,THUNLI,THHIRE,LOFOAL,THSIST,ONLO,WHTHLI,WHTHST,MIGA,THSIWI,THSTTH,LAPADE,AMTHBE,BLNO,BLRE,DRWA,THBESC,WIATR,THDEPR,HAINTH,THSTDI,AKNOF,THSTBE,THMANE,DEBYDE,ZEINTH,DIMADE,UNANUN,THAP,THAB,THEL,THWH,AGALOD,NOPLFO,NOPLTO,SLWITH,REMO,THMIDA,INDE,THMIPA,THBIPI,THTHEY,TRTOTH,JEOFTH,TRMA,10THTO,THBOCO,THBOCH,THMOAF,CARI,CAST,CAWO,PRANTH,LEMYDE,THGIGU,ALOFTH,THTRBE,THGLOF,MEINA,THREJO,THREBO,THREBA,NIWA,ALEOF,HOANOT,LEHO,LEMI,LEPR,PRPE,ALILO,DOQUDE,THINTH,THPAPR,THINCO,SIGAAN,THGRIS,THNETE,ALIWA,COBR,COME,WIFI,THGRRA,WITA,THLASE,THLABE,WHAGI,ONAWI,CRMA,DEUSFR,HACO,SOWITH,SOLIYO,LOEN,LODO,LOLA,LORE,EAINTH,THWIGA,THWIGI,SERE,THWIST,FAPA,FAST,UNMA,THPOTH,SHRI,HIFL,NOFRTH,THPRPA,RAOFTH,THHEIS,THSEMA,MOOFTR,SOOFSO,DACA,DACH,DASO,DAUN,ASPIN,SOSU,SPBO,FOMENO,DECO,COPOAN,DEPA,THANGR,THHAPR,THHATR,THLOHA,THWOMO,STDE","24"
"THDEAN,DEOFA","680"
"THSEGA","212"
"THTHLI,WEOFTH,THGRDI,THSELA,THFABO","23"
"ATITO","671"
"REME,THBUOF,ILOYO,THLACO,ASHHI,HOTOWI","210"
"WITHPO,ELMIDE,THFIMA,THHOBO,THFICO,THSITR,WHTHGO,WRINTH,THDIBE,THSTWA,THSTLA,THFOTH,ASANTH,AVIFR,LEFODE,CHOFHE,KICO,THMAON,IHAA,HEOFGO,THBLST,NOGRLO,DOTOTH,MYST,L'DELA,THTHDA,THTHWO,THBOFR,THMOCO,LIHOON,ROST,ELPR,PHANTH,LAANTH,LEPEPR,LAOR,THRELI,PRDE,THGRGO,THGRAM,THNEAM,WOINLO,WAWITH,LILI,THCATO,THPIPA,THUNA,THCOGA,LAOFLO,AFTHST,THLIPR,WUHE,SIPA,SITH,COANCO,THWOWO,DADA,CAONA,THJEIN,BIOFTH,THAMSP,ABAOF,MAINAM,THLOSH","22"
"IL","666"
"DAMA","208"
"BETHVE,THDABE,IT,BEDI,THSHTH,THSHCA,SOFOTH,GAINTH,THSHWA,WHTHDE,MIBL,THSIWO,MIJO,MIIM,ICACO,DAATTH,BLCR,THDICH,ELJUDE,THDEYO,UPINTH,THMAFI,SHOFHO,SHOFDO,THBLMI,THBLCH,THIS,LEMOD',RESO,LACHLO,IFYOCO,PAPA,MAANAN,RITI,AROOF,GOSATH,THIDOF,SEPO19,NICH,THGHAN,AWHOF,JAST,COHE,WIBO,COLO,WIRE,THLAGI,THCAHE,THGODA,LOCO,LOBO,LORO,LOAMTH,THWIHU,THLIHO,THLIAT,CAINA,SHLA,THPOPA,SICA,THLETR,SLBU,THSELE,THSECH,DAIN,DAPA,DARE,HOPO,HOSO,FIME,FIPA,SPST,MEDEUN,DESL,DESC,GOMOMI,MAFA,MAFI,MAPR","21"
"THMAIN,STINTH,TEOFTH","660"
"MIMA","207"
"TROFCA,FOAF,THDAQU,DITR,TOTHEN,OF,TY,THSPBE,MEMA,MEME,THFIHO,ADOFA,THHIMA,THSIBR,AMIOF,DODE,PRINTH,THFOST,DRMA,BLFL,BLFI,BLGA,THHUSE,MAWAFO,CHOFDU,BOCH,KIKI,ASYOLI,THDEDI,THMASH,THMACI,THMABE,BRPA,BRWI,BLINTH,THAD,THAF,BUDA,DEINVE,FOALTH,SOTOWA,DOINTH,PALO,EAPO,INCA,GHST,THGAIN,THTIIN,THBOTH,FRTHHE,THKITH,WHYOAR,GOMO,ROMA,THTEBE,THPEWA,THPEGA,ENNI,NILI,WIANWI,RAANHE,NIGIDO,THNEOX,NOAN,THGRWO,WRFRTH,THCHST,ITHAON,DROFA,INTHTI,SASO,HAWA,THGOTR,THPIAN,LOUN,THETOF,TWTHLE,THCOPU,THLIIN,SEDE,THWHTR,SEMA,UNTHEN,THLIRE,SCOFTH,FACO,WIFOTH,STANO,FASE,UNLO,SHHO,THNIMA,TATECH,LOHIDE,DAEN,SOOFFO,MATOA,PEINTH,THSETH,HOST,SOSO,HOTOSE,HOTORU,THSAAN,DECA,DEBL,DEDA,DEMO,BAANTH,IFTHBE,THSARO,THLOON,BAMA,STBR,MARE,ASUTO,THCUCA","20"
"THGOOF","656"
"ED,SPOFTH,THGIWI","204"
"DAOFDE,THTHIN,ONOFTH,SNWHAN,ACUOF,NATHGR,THLIME,THFAFI,HOTODO,HOINTH","19"
"AB","651"
"THLAIN,THLITH","200"
"THEYOF","648"
"WITHLI,ADMOTH,BETHSU,BETHSK,DIBL,DIDE,FOMO,SUSE,THDAMA,THDAPA,DISE,MEFOME,SEFOTH,TROFDE,YA,THDASE,BEBR,BECO,THSPCA,BOTOBE,THHOST,THFIRE,THFIKI,THSHPR,THUNMA,MIANTH,MEONTH,THSHCO,THFAPA,VAPO,CAANMO,WHTHCO,I'BESE,MICO,DOTR,MIPR,MIST,POANPR,THDIMA,THFOPR,THSUTH,BLRI,THBESH,CHOFGO,MOBR,THDETO,THDECO,TAACH,PLFOTH,MRMA,THBACH,THMAFR,RADE,AVOIN,RAMA,THBLDA,THCE,NOPLLI,DIOFAN,LAGUDE,LACHDE,THMICH,P.ILO,THQUGA,ARIRU,THONMI,THMIRE,DAWIDE,THBIHO,KIANTH,THTHCA,THBOTR,THVIIN,THMOIS,THKICO,GOGI,APLFO,WHYOGO,APLIN,THDAI,THBRCA,ARUOF,GRUP,LANUDE,THPEPA,THTRCO,LAGA,CHCI,CHHO,CHST,THREHE,SMANMI,DATOBE,THREWI,LEPA,MAMATH,PRCA,PRPA,COOFIN,THINRE,MAOFRE,MYSIOF,VIANTH,GIFRTH,CYDEBE,THGRSE,CORO,LIME,WISP,WIWE,THLAKI,THLAPA,THLACA,THLABO,THCHCU,THCHKI,THCAPA,LOWIIN,WHAMI,NOOFTH,INTHAB,SOYOWA,AMPA,SAMA,HAMO,HASI,ANCA,THGOSP,THWAI,THGOGI,LOGI,BECLDO,LOSU,ONTHWA,AWRIN,THLICA,THWIBE,THWIHE,THCOEN,NEOFKI,ASHON,TODIFO,GHSTOF,FAAF,FAAL,FAME,FATA,UNFI,SHGA,THNIST,WHILI,SOFAFR,THWEWA,HETOTH,STINMY,BRTHRU,THLOYE,LOATFI,DAVI,HIDELA,THSEWA,FILI,THFACO,ADINTH,HOWI,FISE,HOTOPL,THCRWI,MEOFAN,THSABA,DOAMTH,THSASE,THANAN,THHAGO,THLOPO,THLOST,THWOHE,THWOAS,STBO","18"
"THBABO,THSESE","198"
"BOINTH,JOANTH,THVERA,THKIAN,SAANTH,GREX,WHSHWA,PRCO,COOFAG,YOCABE,SOANLO,WIHO,DOSWTH,THCOIL,UNTOCA,THWOIS","17"
"THANOF","645"
"BLMO","196"
"SAINTH,HUMO,THDALI,THDADI,THDACH,THDAIS,20LEUN,OW,SPFOTH,BEBA,THDAWI,DAOFDA,BEST,THHONE,THFIFI,THFIAR,OUOFAF,LESODE,THSIMA,THLUOF,CAAMTH,WHTHSM,BIBA,ELDIDE,LIAFDE,MIPE,MIRE,TEMUNI,THSTWO,THSTPR,COTOME,DRBO,THFOTR,LAINDE,BLOR,THFOMA,CIOFLI,THSWFA,MAABTH,LIWITH,SLWAIN,THMEMA,TIDEDO,MOWA,THDEWE,DETOTH,HATOTH,SIANST,BRBE,THMACH,THMABU,AKNIN,THMADI,TEOFA,DISTDE,THBLAR,DEGEDE,ARETO,ELSIDE,SOTOLO,RECH,REHA,ANOFAN,RESP,PADE,PAGA,LALEDE,ARYOTH,THBIIN,THMION,THDOTO,TOCO,THRAFI,TOSE,TOST,THTHBI,THTHBE,20ASP,THGAST,BEAMA,THBUIN,THTHTA,THBONE,THBOLO,DROFAU,CAEY,CAIN,THCOA,THBOAN,THMOWO,GOCO,DIATTH,GOIN,CLTOHO,WHLIST,THBRHO,ACHFO,ACHBO,THGIMA,THTOAN,LACO,LAME,POST,AWEIN,THRETH,LAAVDE,AFDA,AWIOF,LUSTAN,THPAWA,THNEWO,THYEWA,THGRSA,COSH,THLASA,THLADR,THNIDA,THCIAN,THCHWA,LIBOOF,DIENDE,THCALA,CIINTH,THNAWA,SAHO,ANCO,THGONO,THROLE,THGOMA,LOGO,WOEN,LOHO,LOLO,MEANOT,LOTR,ONTHNA,THCOIN,THCOMO,THLIBL,THCOHI,THWHST,STTOTH,THCORE,THWION,THNIIN,AURO,SIMA,TRWIMY,SPANTH,THPRWH,THSCST,THHEHE,THSEBE,POGOTH,THARNI,THHEWI,SOWO,DEANFA,DOLOBA,SPMI,HOTOUS,HOTOKE,HOTODI,DEDI,THSABO,SESHST,AMAMA,THWOTH,THLOLO,STDR,MASE","16"
"DO","2639"
"PH,THCR","640"
"THNA,THCONO,THCOAN,DADE","192"
"STRI,STTR,STWE,BETHRE,DIMI,THDAGO,AQ,BLWITE,THSNQU,S.,THFIPR,THSHRI,OUONA,THSISI,THSIRO,WHTHMO,LIAFLI,BIBO,DOLEME,WOWIEN,KNOFTH,THFOBE,PHINTH,THDIDI,CIOFFI,OUOFMY,BOSO,KIRA,THDEFA,LIANTI,THSTDA,THGL,THLU,THYE,TRORTR,REFA,SHHOTH,PUINBO,FOYOHE,THRAHO,BATHDA,THTHMA,THRAMA,THMOST,CABE,AGOMA,ONOFUS,GOUN,THBRTR,THBRLI,THTRBO,LALI,LASU,CHME,ABPO,ABSU,THREDO,PRME,THINTR,THINSE,ACODO,THINAT,THGRHA,THYETH,THNEBI,THTWTR,COBA,LISE,LIST,SELIOF,THWAHO,THCATH,PRFOTH,THROCO,AWOGU,THGOWI,PROFLO,THLIEN,ALANFO,THWISE,THLISI,FAIT,ATHOIN,SHHE,JUSOST,COANOT,DAHA,DAJO,DAMI,THWRBO,LESEDE,DEBO,DEFL,DEWE,THALTR,DEZO,THLOTR,THWOGO,AMA","15"
"GO","2624"
"THPLOF","638"
"THUNGU,THMAMA","190"
"STSP,THDALA,FOPA,SUSU,DIMU,THDADE,THDACA,DIWO,BY,CRTHBE,OC,SQ,BECA,BEGI,DAOFDR,THFISA,BERO,THHORO,THHOCH,THFICA,THSHSE,THSISW,THHILI,THSIAN,YOARA,THHICO,MIRU,THFOCO,THHUMO,INADA,DRDA,DRST,THHUTH,DRWE,THSWAN,INANOU,TALI,THMECA,JUTHOB,MOCH,MOME,LAPEDE,THDERE,MOTHWO,ARAIN,THMATO,THMACA,THMABA,NOTUBA,THVEBE,SHOFFO,FAFOTH,THDRMA,RASI,THCI,THJE,MUMA,BEFRFO,DEINPA,DAHADE,APAHO,THMICO,THMIAN,IMEA,IFYOTA,INBE,PAWA,THMIST,INTR,THMIPR,THMIPI,THTHPI,THBUMA,THMUAT,THMOLA,THMORI,THVICO,THMOIM,CAGI,THBOBR,NAPR,THBOAR,MIONTH,THMOVA,AGRDE,INBEWI,DIFOA,PRANDE,NEEN,NECRWO,ELAL,PLDE,ELEN,PATOTH,COBATO,TOHEAN,LAPA,EVLITH,THPECO,CHLI,ELPRDE,NIWH,TAOFMY,THREWO,THPAAN,PRLA,THMYMA,THINBR,THGRHU,WHFA,WHHA,WHST,IFIHA,THEMCO,NOEX,COTO,THGRPA,COWA,WISO,KAANTH,THLAHA,THLAAM,THENPA,THCAST,THCAMU,THNAAN,CRTR,THGOAG,INTHRE,HARA,ANBA,ANDA,THGOOL,MAQUOF,LOIN,ONTHBA,ONTHGO,SEFI,SELE,THWHON,SESA,UNTHGR,MEATAR,THLISH,THLIWO,THCOUN,THWILI,THCORO,FA45,RITHWI,THPOWO,ELREDE,HICO,SIPR,SISI,THPRLI,THPRCO,THWETH,THWECO,THESOF,IDROF,ALCRGR,THSEHU,RIINTH,THSEAG,JUOFTH,DADR,DADI,DAPL,DASE,SOOFIN,JUCA,THARIN,FIFR,THFAAP,SPPA,SPRE,HOTOKI,THCRCO,WIONTH,DEPO,SUTOTH,THANBO,THHATA,THWOTR,BABE,LUINLO,EVBRYO,BADR,THSCAN,LAVISE,BASE,STHA,STKI","14"
"MAOFTH","2600"
"SN,WE,THGIWH","630"
"LACODE,ASTOF","189"
"THSLOF,WHTOEX,OUOFBO,WHTHBI,AMOIN,THBEDE,KILE,THBLHO,INHIST,ARECH,REDR,TOGOTO,THINA,LACH,WAWI,GUTR,ANANCL,THGHIN,WHWRWI,TITHBI,ELLADE,MAANO,ACOYA,LADADE,THEMNE,WHOFTH,THGUBO,CRWO,INTHHA,INTHFA,MEANTH,THCOLI,TRANTR,THWIWA,STTRTH,FAPR,FATR,UNCA,SISP,GEALI,THARNO,HOCO,FOONTH,DEEM,ABABO,MACO","13"
"THSIOF","2568"
"WIOFTH","627"
"THMABO,JAANTH","188"
