"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorLevenshtein record1Value","[0] BookTitleComparatorLevenshtein record2Value","[0] BookTitleComparatorLevenshtein record1PreprocessedValue","[0] BookTitleComparatorLevenshtein record2PreprocessedValue","[0] BookTitleComparatorLevenshtein similarity","[0] BookTitleComparatorLevenshtein postproccesedSimilarity","[1] BookAuthorComparatorTokenizingJaccard record1Value","[1] BookAuthorComparatorTokenizingJaccard record2Value","[1] BookAuthorComparatorTokenizingJaccard record1PreprocessedValue","[1] BookAuthorComparatorTokenizingJaccard record2PreprocessedValue","[1] BookAuthorComparatorTokenizingJaccard similarity","[1] BookAuthorComparatorTokenizingJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","Goodreads_books_22339","Covers_120712","0.42",,"The Story of Babar","The Story of Ruby Bridges","The Story of Babar","The Story of Ruby Bridges","0.6","0.6","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_40631","Covers_217718","0.20487804878048782",,"The Providence of Fire","The Price of Paradise (Harlequin Romance)","The Providence of Fire","The Price of Paradise (Harlequin Romance)","0.29268292682926833","0.29268292682926833","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_14211","Covers_89386","0.13999999999999996",,"Vaderwraak","Vanished","Vaderwraak","Vanished","0.19999999999999996","0.19999999999999996","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_41456","Covers_212521","0.26923076923076916",,"The Shape of Voice Vol. 2","The Shoes of the Fisherman","The Shape of Voice Vol. 2","The Shoes of the Fisherman","0.3846153846153846","0.3846153846153846","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_31451","Covers_43621","0.17872340425531916",,"The Sound of Music","The Souls of Black Folk (Dover Thrift Editions)","The Sound of Music","The Souls of Black Folk (Dover Thrift Editions)","0.25531914893617025","0.25531914893617025","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_2253","Covers_254592","0.21304347826086956",,"The Wisdom of Crowds","The Witches of Karres (SF Collector's Edition)","The Wisdom of Crowds","The Witches of Karres (SF Collector's Edition)","0.30434782608695654","0.30434782608695654","James Surowiecki","James H. Schmitz","James Surowiecki","James H. Schmitz","0.25","0.0"
"LinearCombinationMatchingRule","Goodreads_books_25292","Covers_105094","0.7",,"The Way of Perfection","The Way of Perfection","The Way of Perfection","The Way of Perfection","1.0","1.0","Teresa of �?vila","TERESA OF AVILA","Teresa of �?vila","TERESA OF AVILA","0.4","0.0"
"LinearCombinationMatchingRule","Goodreads_books_31343","Covers_497","1.0",,"Sisters of the Earth: Women's Prose and Poetry About Nature","Sisters of the Earth: Women's Prose and Poetry About Nature","Sisters of the Earth: Women's Prose and Poetry About Nature","Sisters of the Earth: Women's Prose and Poetry About Nature","1.0","1.0","Lorraine Anderson","Lorraine Anderson","Lorraine Anderson","Lorraine Anderson","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_26364","Covers_168060","0.13999999999999996",,"Shadowdale","Shivers","Shadowdale","Shivers","0.19999999999999996","0.19999999999999996","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_13210","Covers_130547","0.35",,"Darkmans","Dai-San","Darkmans","Dai-San","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_40455","Covers_11634","0.3888888888888889",,"Celebrity","Cerebro","Celebrity","Cerebro","0.5555555555555556","0.5555555555555556","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_47163","Covers_1817","0.1909090909090909",,"Perfection","Pet-Rified!","Perfection","Pet-Rified!","0.2727272727272727","0.2727272727272727","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_6212","Covers_49806","0.15555555555555553",,"Rejar","Rebellion","Rejar","Rebellion","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_19254","Covers_162000","0.35",,"Priest","Promises","Priest","Promises","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_44652","Covers_114426","0.21000000000000002",,"Caged","Candleshoe","Caged","Candleshoe","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_11435","Covers_184921","0.21000000000000002",,"Pentimento","Pens�?©es","Pentimento","Pens�?©es","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_42673","Covers_159800","0.13999999999999996",,"Tai-Pan","Tapestry/Dreams","Tai-Pan","Tapestry/Dreams","0.19999999999999996","0.19999999999999996","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_19257","Covers_179280","0.27999999999999997",,"Orbit","Oro","Orbit","Oro","0.4","0.4","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_39506","Covers_86030","0.175",,"Taste","Tamarisk","Taste","Tamarisk","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_47906","Covers_145013","0.21000000000000002",,"Reboot","Redemption","Reboot","Redemption","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_7656","Covers_133573","0.21000000000000002",,"The World of Suzie Wong","The World of the short story: A twentieth century collection","The World of Suzie Wong","The World of the short story: A twentieth century collection","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_33473","Covers_182641","0.21000000000000002",,"Violation","VIRTUOSITY","Violation","VIRTUOSITY","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_21082","Covers_124574","0.42",,"Shara","Shade","Shara","Shade","0.6","0.6","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4676","Covers_201353","0.3",,"Mastiff","Main","Mastiff","Main","0.4285714285714286","0.4285714285714286","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_8613","Covers_12893","0.23333333333333334",,"Shift!","Shogun","Shift!","Shogun","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_48241","Covers_11586","0.3230769230769231",,"Unforgiven","Unforgettable","Unforgiven","Unforgettable","0.46153846153846156","0.46153846153846156","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_47408","Covers_211997","0.23333333333333334",,"Moonlight","Mosquito","Moonlight","Mosquito","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_10942","Covers_59286","0.25666666666666665",,"The Mis-Education of the Negro","The Mistress of Rosecliffe","The Mis-Education of the Negro","The Mistress of Rosecliffe","0.3666666666666667","0.3666666666666667","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_12135","Covers_109978","0.2701754385964912",,"The Adventures of Dwarfgiants: Serpent of the Sulphur Sea","The Adventures of Huckleberry Finn (Penguin Classics)","The Adventures of Dwarfgiants: Serpent of the Sulphur Sea","The Adventures of Huckleberry Finn (Penguin Classics)","0.38596491228070173","0.38596491228070173","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_16384","Covers_113646","0.26249999999999996",,"Strafe","Starwolf","Strafe","Starwolf","0.375","0.375","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_10562","Covers_89523","0.35",,"Solar","Soulmate","Solar","Soulmate","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_19904","Covers_119608","0.26249999999999996",,"The Coming Community","The Complete Colored Pencil Book","The Coming Community","The Complete Colored Pencil Book","0.375","0.375","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_50905","Covers_212661","0.22076923076923075",,"The Adventures of Ook and Gluk: Kung Fu Cavemen from the Future","The Adventures of Tom Sawyer and Adventures of Huckleberry Finn: And, Adventures of Huckleberry Finn (Signet Classics (Paperback))","The Adventures of Ook and Gluk: Kung Fu Cavemen from the Future","The Adventures of Tom Sawyer and Adventures of Huckleberry Finn: And, Adventures of Huckleberry Finn (Signet Classics (Paperback))","0.3153846153846154","0.3153846153846154","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_37440","Covers_249890","0.35",,"A Spell of Time","A Spell of Winter: A Novel","A Spell of Time","A Spell of Winter: A Novel","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_14588","Covers_176395","0.35",,"Phobos","Phantoms","Phobos","Phantoms","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24092","Covers_170744","0.13999999999999996",,"The Wolf of Wall Street","The World of the Brontes : The Lives, Times, and Works of Charlotte, Emily and Anne Bronte","The Wolf of Wall Street","The World of the Brontes : The Lives, Times, and Works of Charlotte, Emily and Anne Bronte","0.19999999999999996","0.19999999999999996","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_49603","Covers_209569","0.27999999999999997",,"Passion","Patriotism","Passion","Patriotism","0.4","0.4","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_1131","Covers_17502","0.2153846153846154",,"Rejoice","Relationships","Rejoice","Relationships","0.3076923076923077","0.3076923076923077","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24121","Covers_142946","0.175",,"Spirited","Spawn","Spirited","Spawn","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_6123","Covers_24656","0.15555555555555553",,"Strangers","Statesman","Strangers","Statesman","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_51714","Covers_114650","0.13999999999999996",,"Possession","Poland","Possession","Poland","0.19999999999999996","0.19999999999999996","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_1074","Covers_96428","0.13424657534246573",,"The Death of Fear","Three degrees of glory: Joseph Smith's insights on the kingdoms of heaven","The Death of Fear","Three degrees of glory: Joseph Smith's insights on the kingdoms of heaven","0.1917808219178082","0.1917808219178082","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_14248","Covers_9881","0.175",,"Contact","Confessional","Contact","Confessional","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_31770","Covers_2866","0.19999999999999998",,"Who Let the Ghosts Out?","Who Left That Body in the Rain? (Thoroughly Southern Mysteries)","Who Let the Ghosts Out?","Who Left That Body in the Rain? (Thoroughly Southern Mysteries)","0.2857142857142857","0.2857142857142857","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_20341","Covers_178114","0.26249999999999996",,"Dawn","Dayworld","Dawn","Dayworld","0.375","0.375","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_20027","Covers_44070","0.23799999999999996",,"Daughter of the Earth and Sky","Dance of the Scarecrows: A Jonathan Wilder Mystery","Daughter of the Earth and Sky","Dance of the Scarecrows: A Jonathan Wilder Mystery","0.33999999999999997","0.33999999999999997","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_6397","Covers_84028","0.35",,"The Naming of the Dead","The Nature of Mind","The Naming of the Dead","The Nature of Mind","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24230","Covers_171632","0.15555555555555553",,"Homestead","Hondo","Homestead","Hondo","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_19624","Covers_48988","0.23333333333333334",,"Shardik","Shatterglass","Shardik","Shatterglass","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_44663","Covers_146561","0.21000000000000002",,"Mossflower","Moontide","Mossflower","Moontide","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_15187","Covers_153058","0.1711111111111111",,"The Witches of Jericho","The Wizard of Oz (Looking Glass Library Book)","The Witches of Jericho","The Wizard of Oz (Looking Glass Library Book)","0.24444444444444446","0.24444444444444446","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_17248","Covers_110574","0.6681818181818182",,"Chicken Soup for the Nurse's Soul: 101 Stories to Celebrate, Honor, and Inspire the Nursing Profession (Chicken Soup for the Soul)","Chicken Soup for the Writer's Soul: Stories to Open the Heart and Rekindle the Spirit of Writers (Chicken Soup for the Soul (Audio Health Communications))","Chicken Soup for the Nurse's Soul: 101 Stories to Celebrate, Honor, and Inspire the Nursing Profession (Chicken Soup for the Soul)","Chicken Soup for the Writer's Soul: Stories to Open the Heart and Rekindle the Spirit of Writers (Chicken Soup for the Soul (Audio Health Communications))","0.525974025974026","0.525974025974026","Jack Canfield","Jack Canfield","Jack Canfield","Jack Canfield","1.0","1.0"
"LinearCombinationMatchingRule","Goodreads_books_156","Covers_178761","0.1615384615384615",,"Truth","Transitioning","Truth","Transitioning","0.23076923076923073","0.23076923076923073","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_18942","Covers_128033","0.23333333333333334",,"Colapso","Conquistador","Colapso","Conquistador","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_44038","Covers_214835","0.6416666666666666",,"White Nights","White Night","White Nights","White Night","0.9166666666666666","0.9166666666666666","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_43620","Covers_134574","0.23333333333333334",,"Dreamcatcher","Dracula","Dreamcatcher","Dracula","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_17995","Covers_231028","0.21000000000000002",,"L'Acrobata","L'Autre","L'Acrobata","L'Autre","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_8331","Covers_202381","0.26923076923076916",,"Living in the USA","Life in the Chesapeake Bay","Living in the USA","Life in the Chesapeake Bay","0.3846153846153846","0.3846153846153846","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_25950","Covers_39648","0.15555555555555553",,"Momzillas","Monster","Momzillas","Monster","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_43192","Covers_159788","0.17777777777777776",,"The End of Eternity","The Enchantment of Opposites: How to Create Great Relationships","The End of Eternity","The Enchantment of Opposites: How to Create Great Relationships","0.25396825396825395","0.25396825396825395","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_27988","Covers_174556","0.1455445544554455",,"How to Become a Really Good Pain in the Ass: A Critical Thinker's Guide to Asking the Right Questions","How to Become Nat.thin","How to Become a Really Good Pain in the Ass: A Critical Thinker's Guide to Asking the Right Questions","How to Become Nat.thin","0.20792079207920788","0.20792079207920788","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4053","Covers_136497","0.27999999999999997",,"Spies","Sport","Spies","Sport","0.4","0.4","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_44183","Covers_240043","0.35",,"Mack","Mass","Mack","Mass","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_16635","Covers_188906","0.13999999999999996",,"Timaeus/Critias","Tiptionary","Timaeus/Critias","Tiptionary","0.19999999999999996","0.19999999999999996","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_46417","Covers_75772","0.19999999999999998",,"Crush","CREATOR","Crush","CREATOR","0.2857142857142857","0.2857142857142857","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_34743","Covers_26377","0.23333333333333334",,"Sabotaged","Saucer","Sabotaged","Saucer","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_33023","Covers_179969","0.4925925925925926",,"Mystery of the Tolling Bell","Mystery of the Golden Horn","Mystery of the Tolling Bell","Mystery of the Golden Horn","0.7037037037037037","0.7037037037037037","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_6787","Covers_145810","0.48999999999999994",,"The Hollow","The Holy","The Hollow","The Holy","0.7","0.7","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_29059","Covers_110528","0.1909090909090909",,"Christopher","Chindi","Christopher","Chindi","0.2727272727272727","0.2727272727272727","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_13359","Covers_100239","0.1076923076923077",,"Gravity","Gros-C�?¢lin","Gravity","Gros-C�?¢lin","0.15384615384615385","0.15384615384615385","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_19870","Covers_32269","0.27999999999999997",,"Wired","Wings","Wired","Wings","0.4","0.4","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_10366","Covers_219451","0.3181818181818182",,"Beginnings","Beatlesongs","Beginnings","Beatlesongs","0.4545454545454546","0.4545454545454546","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_10884","Covers_27976","0.2851851851851852",,"The Passion of Jesus Christ","The papers of Tony Veitch","The Passion of Jesus Christ","The papers of Tony Veitch","0.40740740740740744","0.40740740740740744","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_40293","Covers_78950","0.21000000000000002",,"Steelhands","Stowaway","Steelhands","Stowaway","0.30000000000000004","0.30000000000000004","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_18650","Covers_134223","0.175",,"Hitler","Hiawatha","Hitler","Hiawatha","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_3196","Covers_86880","0.15555555555555553",,"Druids","Dreamland","Druids","Dreamland","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_1952","Covers_64447","0.42",,"Witchling","Witchblade","Witchling","Witchblade","0.6","0.6","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_51109","Covers_233044","0.2545454545454545",,"Londonstani","Lolita","Londonstani","Lolita","0.36363636363636365","0.36363636363636365","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_44065","Covers_268580","0.15555555555555553",,"Maskerade","Marathon!","Maskerade","Marathon!","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_50671","Covers_122779","0.175",,"Horde","Hospital","Horde","Hospital","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_28832","Covers_175869","0.35",,"Maudit manège","Maud Martha","Maudit manège","Maud Martha","0.5","0.5","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_36258","Covers_27564","0.26249999999999996",,"Defender","Deceit","Defender","Deceit","0.375","0.375","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_28875","Covers_225735","0.24285714285714288",,"The Letterbook of Eliza Lucas Pinckney, 1739-1762","The Letters of John Cheever","The Letterbook of Eliza Lucas Pinckney, 1739-1762","The Letters of John Cheever","0.34693877551020413","0.34693877551020413","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_35138","Covers_264529","0.24499999999999997",,"The Changing of the Guard","The Children of Israel Book and Cassette","The Changing of the Guard","The Children of Israel Book and Cassette","0.35","0.35","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_31059","Covers_118272","0.12395833333333335",,"The Color of Distance","The Correspondence of Charles Darwin: Volume 1, 1821-1836 (The Correspondence of Charles Darwin)","The Color of Distance","The Correspondence of Charles Darwin: Volume 1, 1821-1836 (The Correspondence of Charles Darwin)","0.17708333333333337","0.17708333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_15304","Covers_88438","0.1654545454545454",,"Kiss of Steel","Kindness of Strangers (Skip Langdon Novels (Paperback))","Kiss of Steel","Kindness of Strangers (Skip Langdon Novels (Paperback))","0.23636363636363633","0.23636363636363633","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_24996","Covers_118345","0.175",,"Tandem","Tartuffe","Tandem","Tartuffe","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_28620","Covers_239361","0.2545454545454545",,"Provocative","PREDATORS","Provocative","PREDATORS","0.36363636363636365","0.36363636363636365","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_20322","Covers_2089","0.175",,"Sunblind","Suddenly","Sunblind","Suddenly","0.25","0.25","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_8231","Covers_3328","0.23333333333333334",,"The Triumph of the Therapeutic: Uses of Faith after Freud","The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series)","The Triumph of the Therapeutic: Uses of Faith after Freud","The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series)","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_4218","Covers_142472","0.15555555555555553",,"Touch","Tombstone","Touch","Tombstone","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_11631","Covers_9989","0.3",,"Paisley","Paula","Paisley","Paula","0.4285714285714286","0.4285714285714286","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_29281","Covers_155929","0.284375",,"Song of the Moon","Somewhere Off the Coast of Maine","Song of the Moon","Somewhere Off the Coast of Maine","0.40625","0.40625","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_38735","Covers_249197","0.15555555555555553",,"Fledgling","Flashback","Fledgling","Flashback","0.2222222222222222","0.2222222222222222","","","","","0.0","0.0"
"LinearCombinationMatchingRule","Goodreads_books_33833","Covers_50963","0.23333333333333334",,"Bluebirds","Blade","Bluebirds","Blade","0.33333333333333337","0.33333333333333337","","","","","0.0","0.0"
